masked_id,age,tenure_altered,check_bal_altered,sav_bal_altered
46,48,15.02,8912.70,578637.54
46,48,14.94,8083.45,557058.97
46,48,14.86,12052.44,580516.14
46,48,14.78,10358.88,582897.23
46,48,14.69,7797.80,582825.37
46,48,14.61,12135.43,582751.11
47,70,20.04,52586.13,1036516.30
47,70,19.95,43650.40,1036463.47
47,70,19.88,40394.72,1036412.36
47,70,19.79,33592.59,1036359.54
47,69,19.71,27677.63,1036308.44
47,69,19.63,21997.78,1036255.64
48,74,14.07,3587.72,17023.05
48,73,13.99,4048.80,13868.47
48,73,13.91,9798.70,12937.64
48,73,13.83,831.81,18394.72
48,73,13.74,3432.06,19120.13
48,73,13.66,3695.67,20872.59
49,65,46.67,20656.83,6794.90
49,65,46.59,16100.55,13584.54
49,65,46.51,17798.92,13583.88
49,65,46.42,20381.14,13583.19
49,65,46.35,33760.20,13582.52
49,65,46.26,35411.38,13581.83
50,20,9.53,400.75,15970.88
50,20,9.45,340.04,16744.80
50,20,9.36,413.71,17511.93
50,20,9.28,554.73,18348.89
50,20,9.20,206.28,19227.56
50,20,9.11,152.71,20138.23
